ԱԱ	ɑ ɑ́
թույլ	tʰ u j l
թույլատրել	tʰ u j l ɑ d ɾ é l
թույլտվություն	tʰ u j l d ə v u tʰ ʏ́ n
թույն	tʰ u j n
թունա	tʰ u n ɑ́
թունավորել	tʰ u n ɑ v o ɾ é l
թունդ	tʰ u n tʰ
թունել	tʰ u n é l
թունելային	tʰ u n e l ɑ j í n
թուշ	tʰ u ʃ
թուռշի	tʰ u r ʃ í
թուր	tʰ u ɾ
թուրինջ	tʰ u ɾ í n t͡ʃʰ
թուրծ	tʰ u ɾ d͡z
թուրմ	tʰ u ɾ m
թուրշի	tʰ u ɾ ʃ í
թուրջ	tʰ u ɾ t͡ʃʰ
թուրք	tʰ u ɾ kʰ
թուրք	tʰ ʏ ɾ kʰ
թուրքագետ	tʰ u ɾ kʰ ɑ kʰ é d
թուրքական	tʰ u ɾ kʰ ɑ ɡ ɑ́ n
թուրքերեն	tʰ u ɾ kʰ e ɾ é n
թուրքմեն	tʰ u ɾ kʰ m é n
թուրքմենական	tʰ u ɾ kʰ m e n ɑ ɡ ɑ́ n
թուրքմեներեն	tʰ u ɾ kʰ m e n e ɾ é n
թուփ	tʰ u pʰ
թուք	tʰ u kʰ
թոփ	tʰ o pʰ
թոփիկ	tʰ o pʰ í ɡ
թոք	tʰ o kʰ
թոքաբորբ	tʰ o kʰ ɑ pʰ ó ɾ pʰ
թոքախտ	tʰ o kʰ ɑ́ χ t
թոքային	tʰ o kʰ ɑ j í n
թռիչք	tʰ ə r í t͡ʃʰ kʰ
թռնել	tʰ ə r n é l
թռչել	tʰ ə r t͡ʃʰ é l
թռչնաբան	tʰ ə r t͡ʃʰ n ɑ pʰ ɑ́ n
թռչնաբանություն	tʰ ə r t͡ʃʰ n ɑ pʰ ɑ n u tʰ ʏ́ n
թռչնագրիպ	tʰ ə r t͡ʃʰ n ɑ kʰ ə ɾ í b
թռչող	tʰ ə r t͡ʃʰ ó ʁ
թռչուն	tʰ ə r t͡ʃʰ ú n
թսել	tʰ ə s é l
թվաբան	tʰ ə v ɑ pʰ ɑ́ n
թվաբանական	tʰ ə v ɑ pʰ ɑ n ɑ ɡ ɑ́ n
թվաբանություն	tʰ ə v ɑ pʰ ɑ n u tʰ ʏ́ n
թվալ	tʰ ə v ɑ́ l
թվական	tʰ ə v ɑ ɡ ɑ́ n
թվահմայություն	tʰ ə v ɑ h ə m ɑ j u tʰ ʏ́ n
թվային	tʰ ə v ɑ j í n
թվանշան	tʰ ə v ɑ n ə ʃ ɑ́ n
թվանք	tʰ ə v ɑ́ ŋ kʰ
թվարկել	tʰ ə v ɑ ɾ ɡ é l
թվարկության	tʰ ə v ɑ ɾ ɡ u tʰ j ɑ́ n
թվարկություն	tʰ ə v ɑ ɾ ɡ u tʰ ʏ́ n
թվարկությունից	tʰ ə v ɑ ɾ ɡ u tʰ ʏ n í t͡sʰ
թվի	tʰ ə v í
թվիստ	tʰ v i s t
թրաշ	tʰ ə ɾ ɑ́ ʃ
թրաշել	tʰ ə ɾ ɑ ʃ é l
թրաշվել	tʰ ə ɾ ɑ ʃ v é l
թրել	tʰ ə ɾ é l
թրեյլեր	tʰ ɾ e j l é ɾ
թրեյլեր	tʰ ɾ é j l e ɾ
թրթնջուկ	tʰ ə ɾ tʰ ə n t͡ʃʰ ú ɡ
թրթուր	tʰ ə ɾ tʰ ú ɾ
թրիլլեր	tʰ ɾ i lː é ɾ
թրիք	tʰ ə ɾ í kʰ
թրծել	tʰ ə ɾ d͡z é l
թրմել	tʰ ə ɾ m é l
թրջել	tʰ ə ɾ t͡ʃʰ é l
թրքուհի	tʰ ə ɾ kʰ u h í
թրև	tʰ ə ɾ é v
թքած	tʰ ə kʰ ɑ́ d͡z
թքել	tʰ ə kʰ é l
թև	tʰ e v
թևավոր	tʰ e v ɑ v ó ɾ
թևճակ	tʰ e v d͡ʒ ɑ́ ɡ
թևք	tʰ e f kʰ
թևքաճարմանդ	tʰ e f kʰ ɑ d͡ʒ ɑ ɾ m ɑ́ n tʰ
ժ	ʒ ə
ժաժ	ʒ ɑ ʒ
ժաժիկ	ʒ ɑ ʒ í ɡ
ժախ	ʒ ɑ χ
ժահր	ʒ ɑ́ h ə ɾ
ժամ	ʒ ɑ m
ժամագործ	ʒ ɑ m ɑ kʰ ó ɾ d͡z
ժամադրություն	ʒ ɑ m ɑ tʰ ɾ u tʰ ʏ́ n
ժամակահատված	ʒ ɑ m ɑ ɡ ɑ h ɑ d v ɑ́ d͡z
ժամահար	ʒ ɑ m ɑ h ɑ́ ɾ
ժաման	ʒ ɑ m ɑ́ n
ժամանակ	ʒ ɑ m ɑ n ɑ́ ɡ
ժամանակագիր	ʒ ɑ m ɑ n ɑ ɡ ɑ kʰ í ɾ
ժամանակագրություն	ʒ ɑ m ɑ n ɑ ɡ ɑ kʰ ɾ u tʰ ʏ́ n
ժամանակակից	ʒ ɑ m ɑ n ɑ ɡ ɑ ɡ í t͡sʰ
ժամանակաշրջան	ʒ ɑ m ɑ n ɑ ɡ ɑ ʃ ə ɾ t͡ʃʰ ɑ́ n
ժամանակավոր	ʒ ɑ m ɑ n ɑ ɡ ɑ v ó ɾ
ժամանակավորապես	ʒ ɑ m ɑ n ɑ ɡ ɑ v o ɾ ɑ b é s
ժամանակացույց	ʒ ɑ m ɑ n ɑ ɡ ɑ t͡sʰ ú j t͡sʰ
ժամանակի	ʒ ɑ m ɑ n ɑ ɡ í
ժամանել	ʒ ɑ m ɑ n é l
ժամանում	ʒ ɑ m ɑ n ú m
ժամանց	ʒ ɑ m ɑ́ n t͡sʰ
ժամացույց	ʒ ɑ m ɑ t͡sʰ ú j t͡sʰ
ժամկետ	ʒ ɑ m ɡ é d
ժամկոչ	ʒ ɑ m ɡ ó t͡ʃʰ
ժամհար	ʒ ɑ m h ɑ́ ɾ
ժամու	ʒ ɑ m ú
ժայթքել	ʒ ɑ j tʰ kʰ é l
ժայթքում	ʒ ɑ j tʰ kʰ ú m
ժայռ	ʒ ɑ j r
ժանգ	ʒ ɑ ŋ kʰ
ժանգալ	ʒ ɑ ŋ kʰ ɑ́ l
ժանգառ	ʒ ɑ ŋ kʰ ɑ́ r
ժանգոտ	ʒ ɑ ŋ kʰ ó d
ժանի	ʒ ɑ n í
ժանիք	ʒ ɑ n í kʰ
ժանյակ	ʒ ɑ n j ɑ́ ɡ
ժանտ	ʒ ɑ n d
ժանտաթզենի	ʒ ɑ n d ɑ tʰ ə z e n í
ժանտախտ	ʒ ɑ n d ɑ́ χ t
ժանտափուշ	ʒ ɑ n d ɑ pʰ ú ʃ
ժանտաքիս	ʒ ɑ n d ɑ kʰ í s
ժապավեն	ʒ ɑ b ɑ v é n
ժառանգ	ʒ ɑ r ɑ́ ŋ kʰ
ժառանգել	ʒ ɑ r ɑ ŋ kʰ é l
ժառանգորդ	ʒ ɑ r ɑ ŋ kʰ ó ɾ tʰ
ժառանգություն	ʒ ɑ r ɑ ŋ kʰ u tʰ ʏ́ n
ժե	ʒ e
ժենգյալ	ʒ e ŋ kʰ j ɑ́ l
ժիր	ʒ i ɾ
ժլատ	ʒ ə l ɑ́ d
ժխտական	ʒ ə χ t ɑ ɡ ɑ́ n
ժխտել	ʒ ə χ t é l
ժխտողականություն	ʒ ə χ t o ʁ ɑ ɡ ɑ n u tʰ ʏ́ n
ժխտում	ʒ ə χ t ú m
ժոխ	ʒ o χ
ժողով	ʒ o ʁ ó v
ժողովածու	ʒ o ʁ o v ɑ d͡z ú
ժողովուրդ	ʒ o ʁ o v ú ɾ tʰ
ժողովրդագրություն	ʒ o ʁ o v ə ɾ tʰ ɑ kʰ ɾ u tʰ ʏ́ n
ժողովրդական	ʒ o ʁ o v ə ɾ tʰ ɑ ɡ ɑ́ n
ժողովրդավարական	ʒ o ʁ o v ə ɾ tʰ ɑ v ɑ ɾ ɑ ɡ ɑ́ n
ժողովրդավարություն	ʒ o ʁ o v ə ɾ tʰ ɑ v ɑ ɾ u tʰ ʏ́ n
ժոստկի	ʒ o s t ɡ í
ժոստկի	ʒ ó s t ɡ i
ժուժկալ	ʒ u ʒ ɡ ɑ́ l
ժուլիկ	ʒ u l í ɡ
ժուռ	ʒ u r
ժուռնալ	ʒ u r n ɑ́ l
ժուռնալիստ	ʒ u r n ɑ l í s t
ժպիտ	ʒ ə b í d
ժպիրհ	ʒ ə b í ɾ h
ժպտալ	ʒ ə b d ɑ́ l
ժպտիլ	ʒ ə b d í l
ի	i
իբո	í pʰ o
իբր	í pʰ ə ɾ
իգական	i kʰ ɑ ɡ ɑ́ n
իդեալիզմ	i tʰ e ɑ l í z m
իդիշ	í tʰ i ʃ
իդո	í tʰ o
իզոգլոս	i z o kʰ l ó s
իզոտոպ	i z o d ó b
իզուր	i z ú ɾ
իժ	i ʒ
իլ	i l
իլենի	i l e n í
իլիկ	i l í ɡ
իլլիրիական	i lː i ɾ i j ɑ ɡ ɑ́ n
իհարկե	i h ɑ́ ɾ ɡ e
իղձ	i χ t͡sʰ
իղրար	i ʁ ɾ ɑ́ ɾ
իմ	i m
իմա	i m ɑ́
իմանալ	i m ɑ n ɑ́ l
իմաստ	i m ɑ́ s t
իմաստության	i m ɑ s t u tʰ j ɑ́ n
իմաստություն	i m ɑ s t u tʰ ʏ́ n
իմաստուն	i m ɑ s t ú n
իմացաբանություն	i m ɑ t͡sʰ ɑ pʰ ɑ n u tʰ ʏ́ n
իմը	í m ə
իմիջ	i m í t͡ʃʰ
իմիջ	í m i t͡ʃʰ
իմիջիայլոց	i m i t͡ʃʰ i j ɑ j l ó t͡sʰ
իմովսանն	i m o f s ɑ́ nː
իմունիզացիա	i m u n i z ɑ t͡sʰ i j ɑ́
իմունիտետ	i m u n i d é d
իմպերիալիզմ	i m b e ɾ i j ɑ l í z m
իմպերիալիստ	i m b e ɾ i j ɑ l í s t
իմպերիալիստական	i m b e ɾ i j ɑ l i s t ɑ ɡ ɑ́ n
իյնալ	i j n ɑ́ l
ինգլիզ	i ŋ kʰ l í z
ինգուշ	i ŋ kʰ ú ʃ
ինդիում	i n tʰ i j ú m
ինդիում	í n tʰ i j u m
ինդոնեզերեն	i n tʰ o n e z e ɾ é n
իներտ	i n é ɾ d
ինը	í n ə
ինթերն	i n tʰ é ɾ n
ինժեներ	i n ʒ e n é ɾ
ինժեներական	i n ʒ e n e ɾ ɑ ɡ ɑ́ n
ինի	i n í
ինծի	i n d͡z í
ինծմէ	i n d͡z m é
ինծմով	i n d͡z m ó v
ինձ	i n d͡z
իններորդ	í n e ɾ o ɾ tʰ
իններորդ	í nː e ɾ o ɾ tʰ
իննսուն	i nː ə s ú n
ինչ	i n t͡ʃʰ
ինչերեն	i n t͡ʃʰ e ɾ é n
ինչի	i n t͡ʃʰ í
ինչյան	i n t͡ʃʰ j ɑ́ n
ինչու	i n t͡ʃʰ ú
ինչպես	í n t͡ʃʰ p e s
ինչք	i n t͡ʃʰ kʰ
ինչքան	i n t͡ʃʰ kʰ ɑ́ n
ինստիտուտ	i n s t i d ú d
ինվալիդ	i n v ɑ l í tʰ
ինվեստիցիա	i n v e s t í t͡sʰ i j ɑ
ինտեգրալ	i n d e kʰ ɾ ɑ́ l
ինտերլինգվա	i n d e ɾ l í ŋ kʰ v ɑ
ինտերնետ	i n d e ɾ n é d
ինտերնետային	i n d e ɾ n e d ɑ j í n
ինք	i ŋ kʰ
ինքզինք	i ŋ kʰ ə z í ŋ kʰ
ինքը	í ŋ kʰ ə
ինքն	í ŋ kʰ ə n
ինքնագիր	i ŋ kʰ n ɑ kʰ í ɾ
ինքնագլուխ	i ŋ kʰ n ɑ kʰ ə l ú χ
ինքնագնահատական	i ŋ kʰ n ɑ kʰ ə n ɑ h ɑ d ɑ ɡ ɑ́ n
ինքնադիմանկար	i ŋ kʰ n ɑ tʰ i m ɑ n ə ɡ ɑ́ ɾ
ինքնաթափ	i ŋ kʰ n ɑ tʰ ɑ́ pʰ
ինքնաթիռ	i ŋ kʰ n ɑ tʰ í r
ինքնակամ	i ŋ kʰ n ɑ ɡ ɑ́ m
ինքնակենսագրական	i ŋ kʰ n ɑ ɡ e n s ɑ kʰ ɾ ɑ ɡ ɑ́ n
ինքնակենսագրություն	i ŋ kʰ n ɑ ɡ e n s ɑ kʰ ɾ u tʰ ʏ́ n
ինքնահավան	i ŋ kʰ n ɑ h ɑ v ɑ́ n
ինքնահավանել	i ŋ kʰ n ɑ h ɑ v ɑ n é l
ինքնահավանություն	i ŋ kʰ n ɑ h ɑ v ɑ n u tʰ ʏ́ n
ինքնահավանում	i ŋ kʰ n ɑ h ɑ v ɑ n ú m
ինքնահավատք	i ŋ kʰ n ɑ h ɑ v ɑ́ t kʰ
ինքնահող	i ŋ kʰ n ɑ h ó ʁ
ինքնանկար	i ŋ kʰ n ɑ n ə ɡ ɑ́ ɾ
ինքնաշարժ	i ŋ kʰ n ɑ ʃ ɑ́ ɾ ʒ
ինքնապատասխանիչ	i ŋ kʰ n ɑ b ɑ d ɑ s χ ɑ n í t͡ʃʰ
ինքնապատկեր	i ŋ kʰ n ɑ b ɑ d ɡ é ɾ
ինքնասպան	i ŋ kʰ n ɑ s p ɑ́ n
ինքնասպանություն	i ŋ kʰ n ɑ s p ɑ n u tʰ ʏ́ n
ինքնավար	i ŋ kʰ n ɑ v ɑ́ ɾ
ինքնավարություն	i ŋ kʰ n ɑ v ɑ ɾ u tʰ ʏ́ n
ինքնատիրապետում	i ŋ kʰ n ɑ d i ɾ ɑ b e d ú m
ինքնըստինքյան	i ŋ kʰ n ə s t i ŋ kʰ j ɑ́ n
ինքնին	i ŋ kʰ n í n
ինքնիշխանություն	i ŋ kʰ n i ʃ χ ɑ n u tʰ ʏ́ n
ինքնյակ	i ŋ kʰ n j ɑ́ ɡ
ինքնություն	i ŋ kʰ n u tʰ ʏ́ n
ինքնուրույն	i ŋ kʰ n u ɾ ú j n
ինֆեկցիա	i n f e kʰ t͡sʰ i j ɑ́
ինֆեկցիա	i n f é kʰ t͡sʰ i j ɑ
ինֆոգրաֆիկա	i n f o kʰ ɾ ɑ f i ɡ ɑ́
ինֆրաստրուկտուրա	i n f ɾ ɑ s t ɾ u ɡ d ú ɾ ɑ
իշամեղու	i ʃ ɑ m e ʁ ú
իշայծյամ	i ʃ ɑ j d͡z j ɑ́ m
իշառվույտ	i ʃ ɑ r v ú j d
իշխան	i ʃ χ ɑ́ n
իշխանապետություն	i ʃ χ ɑ n ɑ b e d u tʰ ʏ́ n
իշխանափոխություն	i ʃ χ ɑ n ɑ pʰ o χ u tʰ ʏ́ n
իշխանություն	i ʃ χ ɑ n u tʰ ʏ́ n
իշխանուհի	i ʃ χ ɑ n u h í
իշխել	i ʃ χ é l
իշղար	i ʃ ʁ ɑ́ ɾ
իշտահ	i ʃ t ɑ́ h
իոն	i j ó n
իջնալ	i t͡ʃʰ n ɑ́ l
իջնել	i t͡ʃʰ n é l
իջևան	i t͡ʃʰ e v ɑ́ n
իջևանական	i t͡ʃʰ e v ɑ n ɑ ɡ ɑ́ n
իջևանամեջ	i t͡ʃʰ e v ɑ n ɑ m é t͡ʃʰ
իջևանային	i t͡ʃʰ e v ɑ n ɑ j í n
իջևանավոր	i t͡ʃʰ e v ɑ n ɑ v ó ɾ
իջևանատեղ	i t͡ʃʰ e v ɑ n ɑ d é ʁ
իջևանատեղի	i t͡ʃʰ e v ɑ n ɑ d e ʁ í
իջևանատեր	i t͡ʃʰ e v ɑ n ɑ d é ɾ
իջևանատուն	i t͡ʃʰ e v ɑ n ɑ d ú n
իջևանել	i t͡ʃʰ e v ɑ n é l
իջևանում	i t͡ʃʰ e v ɑ n ú m
իռացիոնալ	i r ɑ t͡sʰ i j o n ɑ́ l
իռեդենտիզմ	i r e tʰ e n d í z m
իռլանդացի	i r l ɑ n tʰ ɑ t͡sʰ í
իռլանդերեն	i r l ɑ n tʰ e ɾ é n
իսլամ	i s l ɑ́ m
իսլամական	i s l ɑ m ɑ ɡ ɑ́ n
իսլամացնել	i s l ɑ m ɑ t͡sʰ ə n é l
իսլամացում	i s l ɑ m ɑ t͡sʰ ú m
իսլանդերեն	i s l ɑ n tʰ e ɾ é n
իսկ	i s k
իսկական	i s k ɑ ɡ ɑ́ n
իսկապես	i s k ɑ b é s
իսկույն	i s k ú j n
իսհալ	i s h ɑ́ l
իսմայելիտ	i s m ɑ j e l í d
իսպանական	i s p ɑ n ɑ ɡ ɑ́ n
իսպանացի	i s p ɑ n ɑ t͡sʰ í
իսպաներեն	i s p ɑ n e ɾ é n
իսպանուհի	i s p ɑ n u h í
իսպառ	i s p ɑ́ r
իստակ	i s t ɑ́ ɡ
իստակել	i s t ɑ ɡ é l
իտալական	i d ɑ l ɑ ɡ ɑ́ n
իտալացի	i d ɑ l ɑ t͡sʰ í
իտալերեն	i d ɑ l e ɾ é n
իտալուհի	i d ɑ l u h í
իտրիում	i d ɾ i j ú m
իտրիում	í d ɾ i j u m
իր	i ɾ
իրադարձային	i ɾ ɑ tʰ ɑ ɾ t͡sʰ ɑ j í n
իրադարձություն	i ɾ ɑ tʰ ɑ ɾ t͡sʰ u tʰ ʏ́ n
իրազեկ	i ɾ ɑ z é ɡ
իրական	i ɾ ɑ ɡ ɑ́ n
իրականացնել	i ɾ ɑ ɡ ɑ n ɑ t͡sʰ ə n é l
իրականություն	i ɾ ɑ ɡ ɑ n u tʰ ʏ́ n
իրականում	i ɾ ɑ ɡ ɑ n ú m
իրան	i ɾ ɑ́ n
իրանական	i ɾ ɑ n ɑ ɡ ɑ́ n
իրանահայ	i ɾ ɑ n ɑ h ɑ́ j
իրանյան	i ɾ ɑ n j ɑ́ n
իրանք	i ɾ ɑ́ ŋ kʰ
իրապաշտ	i ɾ ɑ b ɑ́ ʃ t
իրապաշտություն	i ɾ ɑ b ɑ ʃ t u tʰ ʏ́ n
իրավ	i ɾ ɑ́ v
իրավաբան	i ɾ ɑ v ɑ pʰ ɑ́ n
իրավազուրկ	i ɾ ɑ v ɑ z ú ɾ ɡ
իրավախոհություն	i ɾ ɑ v ɑ χ o h u tʰ ʏ́ n
իրավամբ	i ɾ ɑ v ɑ́ m pʰ
իրավապահ	i ɾ ɑ v ɑ b ɑ́ h
իրավիճակ	i ɾ ɑ v i d͡ʒ ɑ́ ɡ
իրավմամբ	i ɾ ɑ v m ɑ́ m pʰ
իրավունք	i ɾ ɑ v ú ŋ kʰ
իրատես	i ɾ ɑ d é s
իրատեսություն	i ɾ ɑ d e s u tʰ ʏ́ n
իրար	i ɾ ɑ́ ɾ
իրարանցում	i ɾ ɑ ɾ ɑ n t͡sʰ ú m
իրենք	i ɾ é ŋ kʰ
իրեք	i ɾ é kʰ
իրիկուն	i ɾ i ɡ ú n
իրողություն	i ɾ o ʁ u tʰ ʏ́ n
իրովսանն	i ɾ o f s ɑ́ nː
իրոք	i ɾ ó kʰ
իւ	ʏ
իքեն	i kʰ é n
լ	l ə
լաբիրինթոս	l ɑ pʰ i ɾ i n tʰ ó s
լադիներեն	l ɑ tʰ i n e ɾ é n
լազաթ	l ɑ z ɑ́ tʰ
լազեր	l ɑ z é ɾ
լազերային	l ɑ z e ɾ ɑ j í n
լազերեն	l ɑ z e ɾ é n
լալ	l ɑ l
լալա	l ɑ l ɑ́
լալոն	l ɑ l ó n
լալոնք	l ɑ l ó ŋ kʰ
լախանա	l ɑ χ ɑ n ɑ́
լախտ	l ɑ χ t
լակ	l ɑ ɡ
լակոտ	l ɑ ɡ ó d
լահմաջո	l ɑ h m ɑ t͡ʃʰ ó
լահմաջոյանոց	l ɑ h m ɑ t͡ʃʰ o j ɑ n ó t͡sʰ
լահմաջու	l ɑ h m ɑ t͡ʃʰ ú
լահմաջուն	l ɑ h m ɑ t͡ʃʰ ú n
լաճ	l ɑ d͡ʒ
լամա	l ɑ m ɑ́
լամբադա	l ɑ m pʰ ɑ tʰ ɑ́
լամբար	l ɑ m pʰ ɑ́ ɾ
լամպ	l ɑ m b
լամպար	l ɑ m b ɑ́ ɾ
լայաղ	l ɑ j ɑ́ ʁ
լայն	l ɑ j n
լայնալիճ	l ɑ j n ɑ l í d͡ʒ
լայնատարած	l ɑ j n ɑ d ɑ ɾ ɑ́ d͡z
լայնատերև	l ɑ j n ɑ d e ɾ é v
լայնշի	l ɑ j n ʃ í
լայնություն	l ɑ j n u tʰ ʏ́ n
լայնուցք	l ɑ j n ú t͡sʰ kʰ
լայնք	l ɑ j ŋ kʰ
լայվ	l ɑ j v
լայքել	l ɑ j kʰ é l
լանչ	l ɑ n t͡ʃʰ
լանջ	l ɑ n t͡ʃʰ
լանջապան	l ɑ n t͡ʃʰ ɑ b ɑ́ n
լանջապանակ	l ɑ n t͡ʃʰ ɑ b ɑ n ɑ́ ɡ
լանջք	l ɑ n t͡ʃʰ kʰ
լաշի	l ɑ ʃ í
լաո	l ɑ ó
լաոսերեն	l ɑ o s e ɾ é n
լապտեր	l ɑ b d é ɾ
լապտերասյուն	l ɑ b d e ɾ ɑ s ʏ́ n
լաջվարդ	l ɑ t͡ʃʰ v ɑ́ ɾ tʰ
լաստ	l ɑ s t
լաստանավ	l ɑ s t ɑ n ɑ́ v
լաստենի	l ɑ s t e n í
լավ	l ɑ v
լավա	l ɑ v ɑ́
լավագույն	l ɑ v ɑ kʰ ú j n
լավագույնս	l ɑ v ɑ kʰ ú j n ə s
լավանալ	l ɑ v ɑ n ɑ́ l
լավաշ	l ɑ v ɑ́ ʃ
լավատես	l ɑ v ɑ d é s
լավատեսական	l ɑ v ɑ d e s ɑ ɡ ɑ́ n
լավատեսություն	l ɑ v ɑ d e s u tʰ ʏ́ n
լավութա	l ɑ v u tʰ ɑ́
լատինական	l ɑ d i n ɑ ɡ ɑ́ n
լատիներեն	l ɑ d i n e ɾ é n
լատիշերեն	l ɑ d i ʃ e ɾ é n
լատվիական	l ɑ d v i j ɑ ɡ ɑ́ n
լատվիերեն	l ɑ d v i j e ɾ é n
լար	l ɑ ɾ
լարել	l ɑ ɾ é l
լարի	l ɑ ɾ í
լարում	l ɑ ɾ ú m
լաց	l ɑ t͡sʰ
լացել	l ɑ t͡sʰ é l
լափել	l ɑ pʰ é l
լաք	l ɑ kʰ
լաքա	l ɑ kʰ ɑ́
լեգիտիմ	l e kʰ i d í m
լեզգի	l e s kʰ í
լեզու	l e z ú
լեզվաբան	l e z v ɑ pʰ ɑ́ n
լեզվաբանական	l e z v ɑ pʰ ɑ n ɑ ɡ ɑ́ n
լեզվաբանություն	l e z v ɑ pʰ ɑ n u tʰ ʏ́ n
լեզվաբուն	l e z v ɑ pʰ ú n
լեզվաընտանիք	l e z v ɑ ə n d ɑ n í kʰ
լեզվակ	l e z v ɑ́ ɡ
լեզվական	l e z v ɑ ɡ ɑ́ n
լեզվակիր	l e z v ɑ ɡ í ɾ
լեզվանի	l e z v ɑ n í
լեթթերեն	l e tʰː e ɾ é n
լեկ	l e ɡ
լեհ	l e h
լեհական	l e h ɑ ɡ ɑ́ n
լեհերեն	l e h e ɾ é n
լեղապարկ	l e ʁ ɑ b ɑ́ ɾ ɡ
լեղի	l e ʁ í
լեմուր	l e m ú ɾ
լեյտենանտ	l e j d e n ɑ́ n d
լեն	l e n
լենինիզմ	l e n i n í z m
լենտ	l e n d
լեշ	l e ʃ
լեպտոն	l e b d ó n
լեռ	l e r
լեռնագիր	l e r n ɑ kʰ í ɾ
լեռնագնաց	l e r n ɑ kʰ ə n ɑ́ t͡sʰ
լեռնագրական	l e r n ɑ kʰ ɾ ɑ ɡ ɑ́ n
լեռնագրություն	l e r n ɑ kʰ ɾ u tʰ ʏ́ n
լեռնային	l e r n ɑ j í n
լեռնաշխարհ	l e r n ɑ ʃ χ ɑ́ ɾ
լեռնաշղթա	l e r n ɑ ʃ ə χ tʰ ɑ́
լեռնցի	l e r ə n t͡sʰ í
լերդ	l e ɾ tʰ
լերդաբույթ	l e ɾ tʰ ɑ pʰ ú j tʰ
լերդախոտ	l e ɾ tʰ ɑ χ ó d
լերկ	l e ɾ ɡ
լերկամորթ	l e ɾ ɡ ɑ m ó ɾ tʰ
լեցնել	l e t͡sʰ ə n é l
լեցուն	l e t͡sʰ ú n
լի	l i
լիագումար	l i j ɑ kʰ u m ɑ́ ɾ
լիազոր	l i j ɑ z ó ɾ
լիազորագիր	l i j ɑ z o ɾ ɑ kʰ í ɾ
լիազորել	l i j ɑ z o ɾ é l
լիազորություն	l i j ɑ z o ɾ u tʰ ʏ́ n
լիազորված	l i j ɑ z o ɾ v ɑ́ d͡z
լիազորվածություն	l i j ɑ z o ɾ v ɑ d͡z u tʰ ʏ́ n
լիազորվել	l i j ɑ z o ɾ v é l
լիակազմ	l i j ɑ ɡ ɑ́ z m
լիանալ	l i j ɑ n ɑ́ l
լիարժեք	l i j ɑ ɾ ʒ é kʰ
լիբերալիզմ	l i pʰ e ɾ ɑ l í z m
լիբիացի	l i pʰ i j ɑ t͡sʰ í
լիբիդո	l i pʰ i tʰ ó
լիբրացիա	l i pʰ ɾ ɑ t͡sʰ i j ɑ́
լիբրետո	l i pʰ ɾ e d ó
լիգա	l i kʰ ɑ́
լիգա	l í kʰ ɑ
լիդիերեն	l i tʰ i j e ɾ é n
լիզել	l i z é l
լիթիում	l i tʰ i j ú m
լիթիում	l í tʰ i j u m
լիկիերեն	l i ɡ i j e ɾ é n
լիճ	l i d͡ʒ
լիմբուրգերեն	l i m pʰ u ɾ kʰ e ɾ é n
լիմոն	l i m ó n
լիմոնադ	l i m o n ɑ́ tʰ
լիմուզին	l i m u z í n
լինգալա	l i ŋ kʰ ɑ́ l ɑ
լինդ	l i n tʰ
լինել	l i n é l
լիով	l i j ó v
լիովին	l i j o v í n
լիուլի	l i j u l í
լիսեռ	l i s é r
լիտվական	l i d v ɑ ɡ ɑ́ n
լիտվաներեն	l i d v ɑ n e ɾ é n
լիտվերեն	l i d v e ɾ é n
լիտր	l í d ə ɾ
լիր	l i ɾ
լիրբ	l i ɾ pʰ
լիք	l i kʰ
լիքը	l í kʰ ə
լիքն	l í kʰ ə n
լիֆչիկ	l i f t͡ʃʰ í ɡ
լլկանք	l ə l ɡ ɑ́ ŋ kʰ
լխպոր	l ə χ p ó ɾ
լծակ	l ə d͡z ɑ́ ɡ
լծել	l ə d͡z é l
լծորդ	l ə d͡z ó ɾ tʰ
լկամ	l ə ɡ ɑ́ m
լկստել	l ə ɡ ə s t é l
լկստվել	l ə ɡ ə s t ə v é l
լկտի	l ə ɡ d í
լղար	l ə ʁ ɑ́ ɾ
լղպոր	l ə ʁ b ó ɾ
լճակ	l ə d͡ʒ ɑ́ ɡ
լման	l ə m ɑ́ n
լմննալ	l ə m ə nː ɑ́ l
լմնցնել	l ə m ə n t͡sʰ ə n é l
լյարդ	l j ɑ ɾ tʰ
լյուն	l ʏ n
լյուրիկյան	l ʏ ɾ i ɡ j ɑ́ n
լյուքսեմբուրգերեն	l ʏ kʰ s e m pʰ u ɾ kʰ e ɾ é n
լյոքշ	l j o kʰ ʃ
լնդախտ	l ə n tʰ ɑ́ χ t
լոբբի	l o pʰː í
լոբի	l o pʰ í
լոգանալ	l o kʰ ɑ n ɑ́ l
լոգանք	l o kʰ ɑ́ ŋ kʰ
լոգարան	l o kʰ ɑ ɾ ɑ́ n
լոգարիթմ	l o kʰ ɑ ɾ í tʰ m
լոգիկա	l ó kʰ i ɡ ɑ
լոգին	l o kʰ í n
լոթարինգացի	l o tʰ ɑ ɾ i ŋ kʰ ɑ t͡sʰ í
լոժբան	l ó ʃ pʰ ɑ n
լոլիկ	l o l í ɡ
լոխ	l o χ
լոխում	l o χ ú m
լոխումճի	l o χ u m d͡ʒ í
լոկ	l o ɡ
լոկոմոտիվ	l o ɡ o m o d í v
լող	l o ʁ
լողազգեստ	l o ʁ ɑ s kʰ é s t
